PRODUCT NAME,D.N.,MRP
SLIM SHIRT,S20174,1550
SLIM SHIRT,P20740,1895
SLIM SHIRT,P20738,1895
SLIM SHIRT,P20739,1895
SLIM SHIRT,P20743,1895
SLIM SHIRT,S18592,1495
SLIM SHIRT,S20175,1495
SLIM SHIRT,S20177,1495
SLIM SHIRT,S22785,1595
SLIM SHIRT,S14131,1895
TROUSER,L17344,1995
TROUSER,L17344,2150
LONG KURTA,K22929,1495
LONG KURTA,K22931,1495
JACKET,J20001,995
JACKET,J21794,995
JACKET,J18354,1395
JACKET,J22023,1495
JACKET,J17991,1495
JEANS,A21325,1450
JEANS,D21570,1350
JEANS,D21322,1450
JEANS,I19710,1350
JEANS,A21573,1650
JEANS,B21573,1650
JEANS,F19716,1450
JEANS,N16507,1650
JEANS,M16507,1650
JEANS,D22112,1650
JEANS,G19716,1450
JEANS,A21571,1650
JEANS,S21570,1350
JEANS,C21572,1550
JEANS,F7236,1450
JEANS,E7236,1450
JEANS,E21572,1550
JEANS,B21571,1650
JEANS,D21326,1750
JEANS,S21326,1750
JEANS,D21994,1650
JEANS,A22744,1450
JEANS,A22741,1450
